desc,descr,Akbarian2020,Akbarian2021,Atalay2020,Becue2018,Becue2020,Becue2022,Bitton2018,Brockhoff2021,Castellani2021,Cathey2021,Chen2022abc,Chukkapali2021a,CristinaFrancodaSilva2021,Damjanovicbehrendt2018ab,Damjanovicbehrendt2018abc,Danilczyk2019,Danilczyk2021,De2022,Dietz2020,Dietz2020a,Dietz2020abc,Dietz2021a,Dietz2022,Dietz2022abc,Eckhart2018,Eckhart2018a,Eckhart2018ab,Eckhart2019,Eckhart2019.1,Eckhart2019abcde,Empl2022,Fournaris2019,Francia2021a,Franco2022a,Fraser2021,Garcia2020,Gehrmann2020,Grasselli2022a,Guo2022,Hadar2020,Han2022abc,Holmes2021,Hou2022,Jagannath2022ab,Unnamed: 46,Jakovlev2021,Kherbache2022,Kruger2021,Kumar2022abc,KumarKandasamy2021,Liu2022abcdef,Murillo2020a,Nguyen2022abcde,Patel2021,Pittaras2022,Pokhrel2020,Raybourn2018,S2022,Saad2020,Sahal2021,Shi2022,Shitole2021,Sousa2021,Suhail2021,Suhail2022ab,Tauber2018,Trneberg2021,Varghese2022,Vielberth2021a,Xinxin2019,Xu2020ab,Xu2021,no
"Information Protection Processes and Procedures (PR.IP): Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality),,,,,,,,x,,,,,,x,x,x,,,x,,,,,,,x,x,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,x,x,,,,,,,,,,,x,,12.0
,PR.IP-2: A System Development Life Cycle to manage systems is implemented,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
,PR.IP-3: Configuration change control processes are in place,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
,"PR.IP-4: Backups of information are conducted, maintained, and tested",,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
,PR.IP-5: Policy and regulations regarding the physical operating environment for organizational assets are met,,,,,,,,,,,x,,,x,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
,PR.IP-6: Data is destroyed according to policy,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,3.0
,PR.IP-7: Protection processes are improved,,,,,,,,,,,,,x,,,,x,,,,,,x,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
,PR.IP-8: Effectiveness of protection technologies is shared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
,PR.IP-9: Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
,PR.IP-10: Response and recovery plans are tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,3.0
,"PR.IP-11: Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)",,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,2.0
,PR.IP-12: A vulnerability management plan is developed and implemented,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
Maintenance (PR.MA): Maintenance and repairs of industrial control and information system components are performed consistent with policies and procedures.,"PR.MA-1: Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools",,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
,"PR.MA-2: Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
"Protective Technology (PR.PT): Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements.","PR.PT-1: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy",,,,,,,,,,,,,x,,,,,,x,,,x,,x,x,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,8.0
,PR.PT-2: Removable media is protected and its use restricted according to policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
,PR.PT-3: The principle of least functionality is incorporated by configuring systems to provide only essential capabilities,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
,PR.PT-4: Communications and control networks are protected,,,,,,,,,,,,,,,,,,,x,,,,,,x,x,x,,,,,,,,x,,x,x,x,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
,"PR.PT-5: Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations",,,,,,,,,,,,,,,,,x,,,,,,x,,x,x,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,7.0
Anomalies and Events (DE.AE): Anomalous activity is detected and the potential impact of events is understood.,DE.AE-1: A baseline of network operations and expected data flows for users and systems is established and managed,,,,,,,,x,x,,,x,,,,x,,,x,,,,,,,,,,,x,,,,,,,,,,,x,,,,,x,x,,x,,x,,,x,,,,,,,,,x,,,,,x,,,,x,15.0
,DE.AE-2: Detected events are analyzed to understand attack targets and methods,,,x,,,x,,,,,,x,x,,,x,,,x,,,,x,,x,,,,,x,,,,,,,,,,,,,,,,x,,,x,,x,,,x,,,,,,x,,,x,,,,x,x,,,,,17.0
,DE.AE-3: Event data are collected and correlated from multiple sources and sensors,,,x,,x,x,,x,x,,,x,x,,,x,,,x,,,,x,x,x,x,x,,,x,,,,,,x,,,x,,,,,,,x,x,,x,,x,,,x,,,,,,x,,x,x,,,,x,x,,,x,x,29.0
,DE.AE-4: Impact of events is determined,,,x,,,,,x,,,,,x,,,x,,,x,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,10.0
,DE.AE-5: Incident alert thresholds are established,,,,,,,,,x,,,,,,,x,,,x,,,,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,x,,,,,x,,,,,11.0
Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,DE.CM-1: The network is monitored to detect potential cybersecurity events,,,x,,,x,,,x,,x,x,,x,x,x,,x,x,,,,,x,x,x,x,,,x,x,,,,x,,,x,x,,,,x,,,,x,,x,x,,,,x,,,,,x,x,,x,x,,,,,x,,,,,29.0
,DE.CM-2: The physical environment is monitored to detect potential cybersecurity events,,,x,,,,,,,,x,,,x,x,x,x,,,,,,,x,x,x,x,,,x,x,,,,x,x,,x,,,x,,,,,x,,,,x,,,,x,,,x,,x,,,x,x,,,,,,,,,,23.0
,DE.CM-3: Personnel activity is monitored to detect potential cybersecurity events,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,3.0
,DE.CM-4: Malicious code is detected,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
,DE.CM-5: Unauthorized mobile code is detected,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
,DE.CM-6: External service provider activity is monitored to detect potential cybersecurity events,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,5.0
,"DE.CM-7: Monitoring for unauthorized personnel, connections, devices, and software is performed",,,,,,,,,,,,,,x,x,,,,,,,,,,,x,x,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,7.0
,DE.CM-8: Vulnerability scans are performed,,,x,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,5.0
Detection Processes (DE.DP): Detection processes and procedures are maintained and tested to ensure awareness of anomalous events.,DE.DP-1: Roles and responsibilities for detection are well defined to ensure accountability,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
,DE.DP-2: Detection activities comply with all applicable requirements,,,,,,,,,,,,,x,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,5.0
,DE.DP-3: Detection processes are tested,x,x,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,5.0
,DE.DP-4: Event detection information is communicated,x,x,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,x,,,,,9.0
,DE.DP-5: Detection processes are continuously improved,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,4.0
"Response Planning (RS.RP): Response processes and procedures are executed and maintained, to ensure response to detected cybersecurity incidents.",RS.RP-1: Response plan is executed during or after an incident,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,4.0
Communications (RS.CO): Response activities are coordinated with internal and external stakeholders (e.g. external support from law enforcement agencies).,RS.CO-1: Personnel know their roles and order of operations when a response is needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,1.0
,RS.CO-2: Incidents are reported consistent with established criteria,x,x,x,,,,,,,,,,,x,x,x,,x,x,,,,,x,x,x,x,,,,x,,,,,,,x,,,,,,,,,,,x,,,,,x,,,,,x,,,,,,,,,x,,,,,18.0
,RS.CO-3: Information is shared consistent with response plans,,,,,,,,,,,,,,x,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,4.0
,RS.CO-4: Coordination with stakeholders occurs consistent with response plans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
,RS.CO-5: Voluntary information sharing occurs with external stakeholders to achieve broader cybersecurity situational awareness,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Analysis (RS.AN): Analysis is conducted to ensure effective response and support recovery activities.,RS.AN-1: Notifications from detection systems are investigated ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,2.0
,RS.AN-2: The impact of the incident is understood,x,x,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,7.0
,RS.AN-3: Forensics are performed,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,3.0
,RS.AN-4: Incidents are categorized consistent with response plans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
,"RS.AN-5: Processes are established to receive, analyze and respond to vulnerabilities disclosed to the organization from internal and external sources (e.g. internal testing, security bulletins, or security researchers)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
"Mitigation (RS.MI): Activities are performed to prevent expansion of an event, mitigate its effects, and resolve the incident.",RS.MI-1: Incidents are contained,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,5.0
,RS.MI-2: Incidents are mitigated,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,x,,x,,7.0
,RS.MI-3: Newly identified vulnerabilities are mitigated or documented as accepted risks,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Improvements (RS.IM): Organizational response activities are improved by incorporating lessons learned from current and previous detection/response activities.,RS.IM-1: Response plans incorporate lessons learned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
,RS.IM-2: Response strategies are updated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Recovery Planning (RC.RP): Recovery processes and procedures are executed and maintained to ensure restoration of systems or assets affected by cybersecurity incidents.,RC.RP-1: Recovery plan is executed during or after a cybersecurity incident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,3.0
Improvements (RC.IM): Recovery planning and processes are improved by incorporating lessons learned into future activities.,RC.IM-1: Recovery plans incorporate lessons learned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,1.0
,RC.IM-2: Recovery strategies are updated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,2.0
"Communications (RC.CO): Restoration activities are coordinated with internal and external parties (e.g. coordinating centers, Internet Service Providers, owners of attacking systems, victims, other CSIRTs, and vendors).",RC.CO-1: Public relations are managed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
,RC.CO-2: Reputation is repaired after an incident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
,RC.CO-3: Recovery activities are communicated to internal and external stakeholders as well as executive and management teams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
,Note,,,,,,,,,,,,,,,,,,,,no boxes checked,no boxes checked,,,,,,,no boxes checked,no boxes checked,,,no boxes checked,no boxes checked even though a DT has been created,,,,,,,,,no boxes checked,,,no boxes checked,,,no boxes checked,,,,no boxes checked,no boxes checked,,,no boxes checked,,no boxes checked,,,no boxes checked,,,no boxes checked,no boxes checked,no boxes checked,,,,no boxes checked,,,
,,6,8,14,3,3,9,6,8,4,7,11,5,28,21,21,15,3,7,17,0,0,2,8,7,13,10,10,0,0,7,30,0,0,12,6,4,3,8,3,6,3,0,3,4,0,12,4,0,22,7,5,0,0,9,6,0,7,0,11,4,0,3,7,0,0,0,4,7,12,0,4,2,
