filename,number_records,iteration,date_start,date_completion,source_url,search_parameters,responsible,comment
2021-05-10/2021-05-10_ACM_15.bib,15,1,5/10/2021,5/10/2021,ACM,none,Philip,
2021-05-10/2021-05-10_AISeL_5.bib,5,1,5/10/2021,5/10/2021,AISeL,none,Philip,
2021-05-10/2021-05-10_IEEE-CS_13.bib,13,1,5/11/2021,5/11/2021,IEEE-CS,none,Philip,
2021-05-10/2021-05-10_IEEE-XPLORE_19.bib,19,1,5/12/2021,5/12/2021,IEEE-Xplore,none,Philip,
2021-05-10/2021-05-10_ScienceDirect_215.bib,215,1,5/13/2021,5/13/2021,Science Direct,none,Philip,
2021-05-10/2021-05-10_SpringerLink_291.bib,291,1,5/14/2021,5/14/2021,Springer Link,none,Philip,
2021-05-10/2021-05-10_WoS_6.bib,6,1,5/15/2021,5/15/2021,WoS,none,Philip,
2021-05-10/2021-05-11_Wiley_40.bib,40,1,5/11/2021,5/11/2021,Wiley Online,none,Philip,
2021-05-10/2021-05-14_ArXiv_1.bib,1,1,5/14/2021,5/14/2021,ArXiv,none,Philip,
2021-05-10/2021-05-14_DLBP_13.bib,13,1,5/14/2021,5/14/2021,DBLP,none,Philip,
2021-05-27/2021-05-27_ACM_96.bib,96,2,5/27/2021,5/27/2021,ACM,none,Philip,
2021-05-27/2021-05-27_arXiv_13.bib,13,2,5/27/2021,5/27/2021,ArXiv,none,Philip,
2021-05-27/2021-05-27_CS_103.bib,103,2,5/27/2021,5/27/2021,IEEE-CS,none,Philip,
2021-05-27/2021-05-27_DBLP_15.bib,15,2,5/27/2021,5/27/2021,DBLP,none,Philip,
2021-05-27/2021-05-27_ScienceDirect_CS_223.bib,223,2,5/27/2021,5/27/2021,Science Direct,none,Philip,
2021-05-27/2021-05-27_ScienceDirect_IS_68.bib,68,2,5/27/2021,5/27/2021,Science Direct,none,Philip,
2021-05-27/2021-05-27_SpringerLink_351.bib,351,2,5/27/2021,5/27/2021,Springer Link,none,Philip,
2021-05-27/2021-05-27_Wiley_43.bib,43,2,5/27/2021,5/27/2021,Wiley Online,none,Philip,
2021-05-27/2021-05-27_WoS_38.bib,38,2,5/27/2021,5/27/2021,WoS,none,Philip,
2021-05-27/2021-05-27_Xplore_78.bib,78,2,5/27/2021,5/27/2021,IEEE-Xplore,none,Philip,
backward//usr/data/search/backward/Almeaibed2021bw_search.bib,15,2,6/9/2021,6/9/2021,/usr/data/search/backward/Almeaibed2021.tei.xml,,automated_script,
backward//usr/data/search/backward/Almeaibed2021bw_search.bib,15,2,6/9/2021,6/9/2021,/usr/data/search/backward/Almeaibed2021.tei.xml,,automated_script,
backward//usr/data/search/backward/Almeaibed2021bw_search.bib,15,2,6/9/2021,6/9/2021,/usr/data/search/backward/Almeaibed2021.tei.xml,,automated_script,
backward//usr/data/search/backward/Almeaibed2021bw_search.bib,15,2,6/9/2021,6/9/2021,/usr/data/search/backward/Almeaibed2021.tei.xml,,automated_script,
backward//usr/data/search/backward/Almeaibed2021bw_search.bib,15,2,6/9/2021,6/9/2021,/usr/data/search/backward/Almeaibed2021.tei.xml,,automated_script,
backward//usr/data/search/backward/Almeaibed2021bw_search.bib,15,2,6/9/2021,6/9/2021,/usr/data/search/backward/Almeaibed2021.tei.xml,,automated_script,
backward//usr/data/search/backward/Assenza2020bw_search.bib,11,2,6/9/2021,6/9/2021,/usr/data/search/backward/Assenza2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Atalay2020bw_search.bib,20,2,6/9/2021,6/9/2021,/usr/data/search/backward/Atalay2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Ayodeji2020bw_search.bib,99,2,6/9/2021,6/9/2021,/usr/data/search/backward/Ayodeji2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Bajaj2020bw_search.bib,5,2,6/9/2021,6/9/2021,/usr/data/search/backward/Bajaj2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Bayanifar2017bw_search.bib,10,2,6/9/2021,6/9/2021,/usr/data/search/backward/Bayanifar2017.tei.xml,,automated_script,
backward//usr/data/search/backward/Becue2020bw_search.bib,149,2,6/9/2021,6/9/2021,/usr/data/search/backward/Becue2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Becue2021bw_search.bib,136,2,6/9/2021,6/9/2021,/usr/data/search/backward/Becue2021.tei.xml,,automated_script,
backward//usr/data/search/backward/Bernardi2020bw_search.bib,13,2,6/9/2021,6/9/2021,/usr/data/search/backward/Bernardi2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Biffl2019bw_search.bib,5,2,6/9/2021,6/9/2021,/usr/data/search/backward/Biffl2019.tei.xml,,automated_script,
backward//usr/data/search/backward/Biffl2019abw_search.bib,56,2,6/9/2021,6/9/2021,/usr/data/search/backward/Biffl2019a.tei.xml,,automated_script,
backward//usr/data/search/backward/Bitton2018bw_search.bib,20,2,6/9/2021,6/9/2021,/usr/data/search/backward/Bitton2018.tei.xml,,automated_script,
backward//usr/data/search/backward/Bore2020bw_search.bib,34,2,6/9/2021,6/9/2021,/usr/data/search/backward/Bore2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Calo2018bw_search.bib,22,2,6/9/2021,6/9/2021,/usr/data/search/backward/Calo2018.tei.xml,,automated_script,
backward//usr/data/search/backward/Campolo2020bw_search.bib,18,2,6/9/2021,6/9/2021,/usr/data/search/backward/Campolo2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Catarci2019bw_search.bib,28,2,6/9/2021,6/9/2021,/usr/data/search/backward/Catarci2019.tei.xml,,automated_script,
backward//usr/data/search/backward/Chhetri2018bw_search.bib,150,2,6/9/2021,6/9/2021,/usr/data/search/backward/Chhetri2018.tei.xml,,automated_script,
backward//usr/data/search/backward/Choi2020bw_search.bib,28,2,6/9/2021,6/9/2021,/usr/data/search/backward/Choi2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Chukkapalli2020bw_search.bib,28,2,6/9/2021,6/9/2021,/usr/data/search/backward/Chukkapalli2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Chukkapalli2021bw_search.bib,49,2,6/9/2021,6/9/2021,/usr/data/search/backward/Chukkapalli2021.tei.xml,,automated_script,
backward//usr/data/search/backward/Cioara2021bw_search.bib,54,2,6/9/2021,6/9/2021,/usr/data/search/backward/Cioara2021.tei.xml,,automated_script,
backward//usr/data/search/backward/Cioroaica2019bw_search.bib,13,2,6/9/2021,6/9/2021,/usr/data/search/backward/Cioroaica2019.tei.xml,,automated_script,
backward//usr/data/search/backward/CristinaFrancodaSilva2021bw_search.bib,6,2,6/9/2021,6/9/2021,/usr/data/search/backward/CristinaFrancodaSilva2021.tei.xml,,automated_script,
backward//usr/data/search/backward/Danilczyk2019bw_search.bib,26,2,6/9/2021,6/9/2021,/usr/data/search/backward/Danilczyk2019.tei.xml,,automated_script,
backward//usr/data/search/backward/Dietz2020bw_search.bib,28,2,6/9/2021,6/9/2021,/usr/data/search/backward/Dietz2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Dietz2020abw_search.bib,15,2,6/9/2021,6/9/2021,/usr/data/search/backward/Dietz2020a.tei.xml,,automated_script,
backward//usr/data/search/backward/Eckhart2018bw_search.bib,37,2,6/9/2021,6/9/2021,/usr/data/search/backward/Eckhart2018.tei.xml,,automated_script,
backward//usr/data/search/backward/Eckhart2018abw_search.bib,32,2,6/9/2021,6/9/2021,/usr/data/search/backward/Eckhart2018a.tei.xml,,automated_script,
backward//usr/data/search/backward/Eckhart2019bw_search.bib,93,2,6/9/2021,6/9/2021,/usr/data/search/backward/Eckhart2019.tei.xml,,automated_script,
backward//usr/data/search/backward/Empl2021bw_search.bib,34,2,6/9/2021,6/9/2021,/usr/data/search/backward/Empl2021.tei.xml,,automated_script,
backward//usr/data/search/backward/Erol2020bw_search.bib,30,2,6/9/2021,6/9/2021,/usr/data/search/backward/Erol2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Fournaris2019bw_search.bib,93,2,6/9/2021,6/9/2021,/usr/data/search/backward/Fournaris2019.tei.xml,,automated_script,
backward//usr/data/search/backward/Furness2019bw_search.bib,29,2,6/9/2021,6/9/2021,/usr/data/search/backward/Furness2019.tei.xml,,automated_script,
backward//usr/data/search/backward/Gajek2020bw_search.bib,23,2,6/9/2021,6/9/2021,/usr/data/search/backward/Gajek2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Garcia2020bw_search.bib,69,2,6/9/2021,6/9/2021,/usr/data/search/backward/Garcia2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Gehrmann2020bw_search.bib,42,2,6/9/2021,6/9/2021,/usr/data/search/backward/Gehrmann2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Grabis2021bw_search.bib,29,2,6/9/2021,6/9/2021,/usr/data/search/backward/Grabis2021.tei.xml,,automated_script,
backward//usr/data/search/backward/Hadar2020bw_search.bib,20,2,6/9/2021,6/9/2021,/usr/data/search/backward/Hadar2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Hammoudeh2020bw_search.bib,2,2,6/9/2021,6/9/2021,/usr/data/search/backward/Hammoudeh2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Hau2020bw_search.bib,22,2,6/9/2021,6/9/2021,/usr/data/search/backward/Hau2020.tei.xml,,automated_script,
backward//usr/data/search/backward/He2019bw_search.bib,50,2,6/9/2021,6/9/2021,/usr/data/search/backward/He2019.tei.xml,,automated_script,
backward//usr/data/search/backward/Inocncio2019bw_search.bib,62,2,6/9/2021,6/9/2021,/usr/data/search/backward/Inocncio2019.tei.xml,,automated_script,
backward//usr/data/search/backward/Kind2021bw_search.bib,5,2,6/9/2021,6/9/2021,/usr/data/search/backward/Kind2021.tei.xml,,automated_script,
backward//usr/data/search/backward/Kruger2021bw_search.bib,38,2,6/9/2021,6/9/2021,/usr/data/search/backward/Kruger2021.tei.xml,,automated_script,
backward//usr/data/search/backward/Krundyshev2020bw_search.bib,33,2,6/9/2021,6/9/2021,/usr/data/search/backward/Krundyshev2020.tei.xml,,automated_script,
backward//usr/data/search/backward/KumarKandasamy2021bw_search.bib,40,2,6/9/2021,6/9/2021,/usr/data/search/backward/KumarKandasamy2021.tei.xml,,automated_script,
backward//usr/data/search/backward/Kummerow2020bw_search.bib,17,2,6/9/2021,6/9/2021,/usr/data/search/backward/Kummerow2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Kummerow2020abw_search.bib,21,2,6/9/2021,6/9/2021,/usr/data/search/backward/Kummerow2020a.tei.xml,,automated_script,
backward//usr/data/search/backward/Laaki2019bw_search.bib,56,2,6/9/2021,6/9/2021,/usr/data/search/backward/Laaki2019.tei.xml,,automated_script,
backward//usr/data/search/backward/LlopisSanchez2020bw_search.bib,13,2,6/9/2021,6/9/2021,/usr/data/search/backward/LlopisSanchez2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Lopez2021bw_search.bib,18,2,6/9/2021,6/9/2021,/usr/data/search/backward/Lopez2021.tei.xml,,automated_script,
backward//usr/data/search/backward/Madni2021bw_search.bib,30,2,6/9/2021,6/9/2021,/usr/data/search/backward/Madni2021.tei.xml,,automated_script,
backward//usr/data/search/backward/MailletContoz2020bw_search.bib,10,2,6/9/2021,6/9/2021,/usr/data/search/backward/MailletContoz2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Martins2020bw_search.bib,59,2,6/9/2021,6/9/2021,/usr/data/search/backward/Martins2020.tei.xml,,automated_script,
backward//usr/data/search/backward/McDermott2019bw_search.bib,18,2,6/9/2021,6/9/2021,/usr/data/search/backward/McDermott2019.tei.xml,,automated_script,
backward//usr/data/search/backward/Mittal2019bw_search.bib,25,2,6/9/2021,6/9/2021,/usr/data/search/backward/Mittal2019.tei.xml,,automated_script,
backward//usr/data/search/backward/Mittal2019abw_search.bib,48,2,6/9/2021,6/9/2021,/usr/data/search/backward/Mittal2019a.tei.xml,,automated_script,
backward//usr/data/search/backward/Morales2020bw_search.bib,13,2,6/9/2021,6/9/2021,/usr/data/search/backward/Morales2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Norton2020bw_search.bib,9,2,6/9/2021,6/9/2021,/usr/data/search/backward/Norton2020.tei.xml,,automated_script,
backward//usr/data/search/backward/OlivaresRojas2021bw_search.bib,20,2,6/9/2021,6/9/2021,/usr/data/search/backward/OlivaresRojas2021.tei.xml,,automated_script,
backward//usr/data/search/backward/Pokhrel2020bw_search.bib,50,2,6/9/2021,6/9/2021,/usr/data/search/backward/Pokhrel2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Pushpa2020bw_search.bib,3,2,6/9/2021,6/9/2021,/usr/data/search/backward/Pushpa2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Ranjbar2020bw_search.bib,24,2,6/9/2021,6/9/2021,/usr/data/search/backward/Ranjbar2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Raybourn2018bw_search.bib,22,2,6/9/2021,6/9/2021,/usr/data/search/backward/Raybourn2018.tei.xml,,automated_script,
backward//usr/data/search/backward/Reis2020bw_search.bib,24,2,6/9/2021,6/9/2021,/usr/data/search/backward/Reis2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Riegler2021bw_search.bib,26,2,6/9/2021,6/9/2021,/usr/data/search/backward/Riegler2021.tei.xml,,automated_script,
backward//usr/data/search/backward/Rivera2019bw_search.bib,45,2,6/9/2021,6/9/2021,/usr/data/search/backward/Rivera2019.tei.xml,,automated_script,
backward//usr/data/search/backward/Rubio2019bw_search.bib,124,2,6/9/2021,6/9/2021,/usr/data/search/backward/Rubio2019.tei.xml,,automated_script,
backward//usr/data/search/backward/Saad2020bw_search.bib,33,2,6/9/2021,6/9/2021,/usr/data/search/backward/Saad2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Saad2020abbw_search.bib,23,2,6/9/2021,6/9/2021,/usr/data/search/backward/Saad2020ab.tei.xml,,automated_script,
backward//usr/data/search/backward/Sari2020bw_search.bib,45,2,6/9/2021,6/9/2021,/usr/data/search/backward/Sari2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Semenkov2020bw_search.bib,23,2,6/9/2021,6/9/2021,/usr/data/search/backward/Semenkov2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Semenkov2021bw_search.bib,35,2,6/9/2021,6/9/2021,/usr/data/search/backward/Semenkov2021.tei.xml,,automated_script,
backward//usr/data/search/backward/Shalaginov2019bw_search.bib,41,2,6/9/2021,6/9/2021,/usr/data/search/backward/Shalaginov2019.tei.xml,,automated_script,
backward//usr/data/search/backward/Sugumar2019bw_search.bib,32,2,6/9/2021,6/9/2021,/usr/data/search/backward/Sugumar2019.tei.xml,,automated_script,
backward//usr/data/search/backward/Suhail2021bw_search.bib,17,2,6/9/2021,6/9/2021,/usr/data/search/backward/Suhail2021.tei.xml,,automated_script,
backward//usr/data/search/backward/Sundaram2020bw_search.bib,22,2,6/9/2021,6/9/2021,/usr/data/search/backward/Sundaram2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Tao2019bw_search.bib,104,2,6/9/2021,6/9/2021,/usr/data/search/backward/Tao2019.tei.xml,,automated_script,
backward//usr/data/search/backward/Tauber2018bw_search.bib,5,2,6/9/2021,6/9/2021,/usr/data/search/backward/Tauber2018.tei.xml,,automated_script,
backward//usr/data/search/backward/Terziyan2021bw_search.bib,32,2,6/9/2021,6/9/2021,/usr/data/search/backward/Terziyan2021.tei.xml,,automated_script,
backward//usr/data/search/backward/U.Khan2021bw_search.bib,14,2,6/9/2021,6/9/2021,/usr/data/search/backward/U.Khan2021.tei.xml,,automated_script,
backward//usr/data/search/backward/Vagadia2020abw_search.bib,31,2,6/9/2021,6/9/2021,/usr/data/search/backward/Vagadia2020a.tei.xml,,automated_script,
backward//usr/data/search/backward/Veledar2019bw_search.bib,22,2,6/9/2021,6/9/2021,/usr/data/search/backward/Veledar2019.tei.xml,,automated_script,
backward//usr/data/search/backward/Wang2019bw_search.bib,49,2,6/9/2021,6/9/2021,/usr/data/search/backward/Wang2019.tei.xml,,automated_script,
backward//usr/data/search/backward/Wu2020bw_search.bib,144,2,6/9/2021,6/9/2021,/usr/data/search/backward/Wu2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Xu2020abbw_search.bib,30,2,6/9/2021,6/9/2021,/usr/data/search/backward/Xu2020ab.tei.xml,,automated_script,
backward//usr/data/search/backward/Xu2021bw_search.bib,38,2,6/9/2021,6/9/2021,/usr/data/search/backward/Xu2021.tei.xml,,automated_script,
Forwardsearch,430,,,,,,,
2021-12-19/2021-12-19_ACM_105.bib,105,3,12/19/2021,12/19/2021,ACM,none,Philip,
2021-12-19/2021-12-19_Arxiv_16.bib,16,3,12/19/2021,12/19/2021,ArXiv,none,Philip,
2021-12-19/2021-12-19_DBLP_19.bib,19,3,12/19/2021,12/19/2021,DBLP,none,Philip,
2021-12-19/2021-12-19_IEEECS_124.bib,124,3,12/19/2021,12/19/2021,IEEE-CS,none,Philip,
2021-12-19/2021-12-19_ScienceDirect_99.bib,99,3,12/19/2021,12/19/2021,Science Direct,none,Philip,
2021-12-19/2021-12-19_SpringerLink_350.bib,350,3,12/19/2021,12/19/2021,Springer Link,none,Philip,
2021-12-19/2021-12-19_Wiley_60.bib,60,3,12/19/2021,12/19/2021,Wiley Online,none,Philip,
2021-12-19/2021-12-19_WoS_63.bib,63,3,12/19/2021,12/19/2021,WoS,none,Philip,
2021-12-19/2021-12-19_Xplore_139.bib,138,3,12/19/2021,12/19/2021,IEEE-Xplore,none,Philip,
2021-12-19/2021-12-19_AISeL_67.bib,67,3,12/19/2021,12/19/2021,AISeL,none,Philip,
